ISSN	Título	Estrato	Área de Avaliação	Status
0309-166X	Cambridge Journal of Economics	A1	ECONOMIA	Atualizado
0012-9682	Econometrica (Chicago)	A1	ECONOMIA	Atualizado
0266-4666	Econometric Theory (Print)	A1	ECONOMIA	Atualizado
0938-2259	Economic Theory	A1	ECONOMIA	Atualizado
0014-2921	European Economic Review	A1	ECONOMIA	Atualizado
0899-8256	Games and Economic Behavior (Print)	A1	ECONOMIA	Atualizado
0018-2702	History of Political Economy	A1	ECONOMIA	Atualizado
0020-6598	International Economic Review (Philadelphia)	A1	ECONOMIA	Atualizado
1099-1255	Journal of Applied Econometrics (Chichester, England. Online)	A1	ECONOMIA	Atualizado
0735-0015	Journal of Business & Economic Statistics	A1	ECONOMIA	Atualizado
0304-4076	Journal of Econometrics	A1	ECONOMIA	Atualizado
0022-0515	Journal of Economic Literature	A1	ECONOMIA	Atualizado
1350-178X	Journal of Economic Methodology	A1	ECONOMIA	Atualizado
0022-0531	Journal of Economic Theory (Print)	A1	ECONOMIA	Atualizado
0304-405X	Journal of Financial Economics	A1	ECONOMIA	Atualizado
0022-1996	Journal of International Economics (Print)	A1	ECONOMIA	Atualizado
0304-3932	Journal of Monetary Economics (Print)	A1	ECONOMIA	Atualizado
0022-2879	Journal of Money, Credit and Banking	A1	ECONOMIA	Atualizado
0022-3808	Journal of Political Economy	A1	ECONOMIA	Atualizado
0160-3477	Journal of Post Keynesian Economics	A1	ECONOMIA	Atualizado
0047-2727	Journal of Public Economics	A1	ECONOMIA	Atualizado
1530-9142	Review of Economics and Statistics (Online: CatchWord Ltd.)	A1	ECONOMIA	Atualizado
0034-6527	Review of Economic Studies	A1	ECONOMIA	Atualizado
0002-8282	The American Economic Review	A1	ECONOMIA	Atualizado
0895-3309	The Journal of Economic Perspectives	A1	ECONOMIA	Atualizado
0022-1082	The Journal of Finance (New York. Print)	A1	ECONOMIA	Atualizado
1548-8004	The Journal of Human Resources (Online)	A1	ECONOMIA	Atualizado
0033-5533	The Quarterly Journal of Economics	A1	ECONOMIA	Atualizado
0741-6261	The Rand Journal of Economics	A1	ECONOMIA	Atualizado
0034-6535	The Review of Economics and Statistics	A1	ECONOMIA	Atualizado
1467-937X	The Review of Economic Studies	A1	ECONOMIA	Atualizado
0893-9454	The Review of Financial Studies	A1	ECONOMIA	Atualizado
0309-1708	Advances in Water Resources	A2	ECONOMIA	Atualizado
1130-2887	América Latina Hoy	A2	ECONOMIA	Atualizado
0090-0036	American Journal of Public Health (1971)	A2	ECONOMIA	Atualizado
1600-6135	American Journal of Transplantation (Print)	A2	ECONOMIA	Atualizado
0090-5364	Annals of Statistics	A2	ECONOMIA	Atualizado
0883-2927	Applied Geochemistry	A2	ECONOMIA	Atualizado
1367-4803	Bioinformatics (Oxford. Print)	A2	ECONOMIA	Atualizado
0961-9534	Biomass & Bioenergy	A2	ECONOMIA	Atualizado
0960-8524	Bioresource Technology	A2	ECONOMIA	Atualizado
0007-2303	Brookings Papers on Economic Activity (Print)	A2	ECONOMIA	Atualizado
1298-6046	Cahiers du Genre (Paris)	A2	ECONOMIA	Atualizado
0008-4085	Canadian Journal of Economics	A2	ECONOMIA	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A2	ECONOMIA	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A2	ECONOMIA	Atualizado
1555-9041	Clinical Journal of the American Society of Nephrology	A2	ECONOMIA	Atualizado
0926-6003	Computational Optimization and Applications	A2	ECONOMIA	Atualizado
0747-5632	Computers in Human Behavior	A2	ECONOMIA	Atualizado
0095-2583	Economic Inquiry	A2	ECONOMIA	Atualizado
0165-1765	Economics Letters	A2	ECONOMIA	Atualizado
0360-5442	Energy (Oxford)	A2	ECONOMIA	Atualizado
1364-8152	Environmental Modelling & Software	A2	ECONOMIA	Atualizado
0265-8135	Environment & Planning. B, Planning & Design (Print)	A2	ECONOMIA	Atualizado
0956-7925	European Journal of Applied Mathematics (Print)	A2	ECONOMIA	Atualizado
0377-2217	European Journal of Operational Research	A2	ECONOMIA	Atualizado
0304-4130	European Journal of Political Research	A2	ECONOMIA	Atualizado
0165-0114	Fuzzy Sets and Systems	A2	ECONOMIA	Atualizado
0018-9286	IEEE Transactions on Automatic Control (Print)	A2	ECONOMIA	Atualizado
1063-6706	IEEE Transactions on Fuzzy Systems	A2	ECONOMIA	Atualizado
0960-6491	Industrial and Corporate Change	A2	ECONOMIA	Atualizado
0899-823X	Infection Control and Hospital Epidemiology	A2	ECONOMIA	Atualizado
1069-2509	Integrated Computer-Aided Engineering	A2	ECONOMIA	Atualizado
0020-7276	International Journal of Game Theory (Print)	A2	ECONOMIA	Atualizado
0958-5192	International Journal of Human Resource Management	A2	ECONOMIA	Atualizado
0360-3199	International Journal of Hydrogen Energy	A2	ECONOMIA	Atualizado
0167-7187	International Journal of Industrial Organization	A2	ECONOMIA	Atualizado
0925-5273	International Journal of Production Economics	A2	ECONOMIA	Atualizado
1054-139X	Journal of Adolescent Health	A2	ECONOMIA	Atualizado
0883-7252	Journal of Applied Econometrics (Chichester, England)	A2	ECONOMIA	Atualizado
0378-4266	Journal of Banking & Finance (Print)	A2	ECONOMIA	Atualizado
1083-351X	Journal of Biological Chemistry (Online)	A2	ECONOMIA	Atualizado
0304-3878	Journal of Development Economics (Print)	A2	ECONOMIA	Atualizado
0167-2681	Journal of Economic Behavior & Organization	A2	ECONOMIA	Atualizado
0165-1889	Journal of Economic Dynamics & Control	A2	ECONOMIA	Atualizado
1381-4338	Journal of Economic Growth (Boston)	A2	ECONOMIA	Atualizado
0021-3624	Journal of Economic Issues	A2	ECONOMIA	Atualizado
0144-3585	Journal of Economic Studies (Bradford)	A2	ECONOMIA	Atualizado
0095-0696	Journal of Environmental Economics and Management (Print)	A2	ECONOMIA	Atualizado
1042-9573	Journal of Financial Intermediation (Print)	A2	ECONOMIA	Atualizado
0167-6296	Journal of Health Economics	A2	ECONOMIA	Atualizado
0022-1821	Journal of Industrial Economics (Print)	A2	ECONOMIA	Atualizado
0261-5606	Journal of International Money and Finance	A2	ECONOMIA	Atualizado
0734-306X	Journal of Labor Economics	A2	ECONOMIA	Atualizado
8756-6222	Journal of Law, Economics, & Organization	A2	ECONOMIA	Atualizado
0304-4068	Journal of Mathematical Economics (Print)	A2	ECONOMIA	Atualizado
0733-9496	Journal of Water Resources Planning and Management	A2	ECONOMIA	Atualizado
0094-582X	Latin American Perspectives	A2	ECONOMIA	Atualizado
0308-1087	Linear and Multilinear Algebra	A2	ECONOMIA	Atualizado
1365-1005	Macroeconomic Dynamics (Print)	A2	ECONOMIA	Atualizado
0028-0283	National Tax Journal	A2	ECONOMIA	Atualizado
0028-0836	Nature (London)	A2	ECONOMIA	Atualizado
0028-6060	New Left Review	A2	ECONOMIA	Atualizado
0029-5515	Nuclear Fusion	A2	ECONOMIA	Atualizado
1364-503X	Philosophical Transactions - Royal Society. Mathematical, Physical and Engineering Sciences (Print)	A2	ECONOMIA	Atualizado
1098-0121	Physical Review. B, Condensed Matter and Materials Physics	A2	ECONOMIA	Atualizado
0031-9007	Physical Review Letters (Print)	A2	ECONOMIA	Atualizado
1932-6203	Plos One	A2	ECONOMIA	Atualizado
0199-0039	Population and Environment	A2	ECONOMIA	Atualizado
1385-2256	Precision Agriculture (Print)	A2	ECONOMIA	Atualizado
1323-1316	Psychiatry and Clinical Neurosciences (Carlton, Vic. Print)	A2	ECONOMIA	Atualizado
0048-7333	Research Policy	A2	ECONOMIA	Atualizado
1094-2025	Review of Economic Dynamics (Print)	A2	ECONOMIA	Atualizado
0953-8259	Review of Political Economy	A2	ECONOMIA	Atualizado
1552-8502	Review of Radical Political Economics	A2	ECONOMIA	Atualizado
0036-8075	Science (New York, N.Y.)	A2	ECONOMIA	Atualizado
1588-2861	Scientometrics (Online)	A2	ECONOMIA	Atualizado
0176-1714	Social Choice and Welfare	A2	ECONOMIA	Atualizado
0277-9536	Social Science & Medicine (1982)	A2	ECONOMIA	Atualizado
0927-0248	Solar Energy Materials and Solar Cells	A2	ECONOMIA	Atualizado
1133-0686	Test (Madrid)	A2	ECONOMIA	Atualizado
1050-5164	The Annals of Applied Probability	A2	ECONOMIA	Atualizado
0018-2168	The Hispanic American Historical Review	A2	ECONOMIA	Atualizado
1096-7508	The International Food and Agribusiness Management Review	A2	ECONOMIA	Atualizado
0021-9398	The Journal of Business (Chicago)	A2	ECONOMIA	Atualizado
1471-6372	The Journal of Economic History (Online)	A2	ECONOMIA	Atualizado
0022-166X	The Journal of Human Resources	A2	ECONOMIA	Atualizado
0022-2186	The Journal of Law & Economics	A2	ECONOMIA	Atualizado
1499-2752	The Journal of Rheumatology (Online)	A2	ECONOMIA	Atualizado
0099-5355	The Lancet (North American edition)	A2	ECONOMIA	Atualizado
0486-6134	The Review of Radical Political Economics	A2	ECONOMIA	Atualizado
0041-1337	Transplantation	A2	ECONOMIA	Atualizado
0965-8564	Transportation Research. Part A, Policy and Practice	A2	ECONOMIA	Atualizado
1573-062X	Urban Water Journal (Print)	A2	ECONOMIA	Atualizado
0920-4741	Water Resources Management	A2	ECONOMIA	Atualizado
0043-1397	Water Resources Research	A2	ECONOMIA	Atualizado
0149-1423	AAPG Bulletin (Print)	B1	ECONOMIA	Atualizado
1012-8255	Academia (Caracas)	B1	ECONOMIA	Atualizado
0378-3774	Agricultural Water Management (Print)	B1	ECONOMIA	Atualizado
1316-0354	Agroalimentaria (Caracas)	B1	ECONOMIA	Atualizado
1678-8621	Ambiente Construído (Online)	B1	ECONOMIA	Atualizado
0002-9092	American Journal of Agricultural Economics	B1	ECONOMIA	Atualizado
1614-2446	Annals of Finance (Print)	B1	ECONOMIA	Atualizado
0003-6846	Applied Economics (Print)	B1	ECONOMIA	Atualizado
0893-9659	Applied Mathematics Letters	B1	ECONOMIA	Atualizado
1524-1904	Applied Stochastic Models in Business and Industry (Print)	B1	ECONOMIA	Atualizado
1932-104X	Biofuels, Bioproducts & Biorefining	B1	ECONOMIA	Atualizado
0968-0896	Bioorganic & Medicinal Chemistry (Print)	B1	ECONOMIA	Atualizado
1471-2458	BMC Public Health (Online)	B1	ECONOMIA	Atualizado
1980-2447	Brazilian Review of Econometrics	B1	ECONOMIA	Atualizado
0960-0779	Chaos, Solitons and Fractals	B1	ECONOMIA	Atualizado
1678-4561	Ciência & Saúde Coletiva (Online)	B1	ECONOMIA	Atualizado
0213-8093	C.I.R.I.E.C. España	B1	ECONOMIA	Atualizado
0010-4140	Comparative Political Studies	B1	ECONOMIA	Atualizado
0927-7099	Computational Economics	B1	ECONOMIA	Atualizado
0167-9473	Computational Statistics & Data Analysis (Print)	B1	ECONOMIA	Atualizado
0010-4655	Computer Physics Communications	B1	ECONOMIA	Atualizado
0305-0548	Computers & Operations Research	B1	ECONOMIA	Atualizado
0921-8009	Ecological Economics (Amsterdam)	B1	ECONOMIA	Atualizado
1413-8050	Economia Aplicada (Impresso)	B1	ECONOMIA	Atualizado
1517-7580	Economia (Brasília)	B1	ECONOMIA	Atualizado
0104-0618	Economia e Sociedade (UNICAMP. Impresso)	B1	ECONOMIA	Atualizado
0013-0427	Economica (London. Print)	B1	ECONOMIA	Atualizado
0266-2671	Economics and Philosophy	B1	ECONOMIA	Atualizado
0272-7757	Economics of Education Review	B1	ECONOMIA	Atualizado
1043-8599	Economics of Innovation and New Technology	B1	ECONOMIA	Atualizado
0939-3625	Economic Systems	B1	ECONOMIA	Atualizado
0308-5147	Economy and Society (Print)	B1	ECONOMIA	Atualizado
1517-9702	Educação e Pesquisa (USP. Impresso)	B1	ECONOMIA	Atualizado
0924-6460	Environmental & Resource Economics (Dordrecht)	B1	ECONOMIA	Atualizado
1355-770X	Environment and Development Economics (Print)	B1	ECONOMIA	Atualizado
0956-2478	Environment and Urbanization	B1	ECONOMIA	Atualizado
1851-1732	Estudios y Perspectivas en Turismo (En Línea)	B1	ECONOMIA	Atualizado
1980-5357	Estudos Econômicos	B1	ECONOMIA	Atualizado
0101-4161	Estudos Econômicos (São Paulo. Impresso)	B1	ECONOMIA	Atualizado
0250-7161	EURE (Santiago. Impresa)	B1	ECONOMIA	Atualizado
0295-5075	Europhysics Letters (Print)	B1	ECONOMIA	Atualizado
0957-4174	Expert Systems with Applications	B1	ECONOMIA	Atualizado
0014-4983	Explorations in Economic History (Print)	B1	ECONOMIA	Atualizado
1744-8603	Globalization and Health	B1	ECONOMIA	Atualizado
1353-8292	Health and Place	B1	ECONOMIA	Atualizado
1057-9230	Health Economics (Print)	B1	ECONOMIA	Atualizado
1724-2169	History of Economic Ideas (Online)	B1	ECONOMIA	Atualizado
1122-8792	History of Economic Ideas (Testo Stampato)	B1	ECONOMIA	Atualizado
1020-7635	IMF Staff Papers (Print)	B1	ECONOMIA	Atualizado
0019-7939	Industrial & Labor Relations Review	B1	ECONOMIA	Atualizado
0019-8692	Industrial Relations Journal (London. Print)	B1	ECONOMIA	Atualizado
1414-3283	Interface (Botucatu. Impresso)	B1	ECONOMIA	Atualizado
0218-1274	International Journal of Bifurcation and Chaos in Applied Sciences and Engineering	B1	ECONOMIA	Atualizado
0020-7292	International Journal of Gynaecology and Obstetrics	B1	ECONOMIA	Atualizado
0924-8447	International Journal of Gynecology & Obstetrics. Supplement	B1	ECONOMIA	Atualizado
0306-8293	International Journal of Social Economics	B1	ECONOMIA	Atualizado
1059-0560	International Review of Economics & Finance	B1	ECONOMIA	Atualizado
0937-3462	International Urogynecology Journal (Print)	B1	ECONOMIA	Atualizado
0890-4065	Journal of Aging Studies	B1	ECONOMIA	Atualizado
0021-9487	Journal of Canadian Petroleum Technology	B1	ECONOMIA	Atualizado
0021-9797	Journal of Colloid and Interface Science (Print)	B1	ECONOMIA	Atualizado
0929-1199	Journal of Corporate Finance (Amsterdam. Print)	B1	ECONOMIA	Atualizado
0022-0388	Journal of Development Studies	B1	ECONOMIA	Atualizado
1058-6407	Journal of Economics & Management Strategy	B1	ECONOMIA	Atualizado
0927-5398	Journal of Empirical Finance	B1	ECONOMIA	Atualizado
0936-9937	Journal of Evolutionary Economics	B1	ECONOMIA	Atualizado
1479-8409	Journal of Financial Econometrics	B1	ECONOMIA	Atualizado
0022-216X	Journal of Latin American Studies (Print)	B1	ECONOMIA	Atualizado
0953-8984	Journal of Physics. Condensed Matter (Print)	B1	ECONOMIA	Atualizado
0276-8739	Journal of Policy Analysis and Management (Print)	B1	ECONOMIA	Atualizado
0933-1433	Journal of Population Economics	B1	ECONOMIA	Atualizado
1467-9779	Journal of Public Economic Theory	B1	ECONOMIA	Atualizado
1097-3923	Journal of Public Economic Theory (Print)	B1	ECONOMIA	Atualizado
0922-680X	Journal of Regulatory Economics	B1	ECONOMIA	Atualizado
0895-5646	Journal of Risk and Uncertainty	B1	ECONOMIA	Atualizado
1527-0025	Journal of Sports Economics	B1	ECONOMIA	Atualizado
0094-9655	Journal of Statistical Computation and Simulation (Print)	B1	ECONOMIA	Atualizado
1742-5468	Journal of Statistical Mechanics	B1	ECONOMIA	Atualizado
0378-3758	Journal of Statistical Planning and Inference (Print)	B1	ECONOMIA	Atualizado
0160-5682	Journal of the Operational Research Society	B1	ECONOMIA	Atualizado
0740-3224	Journal of the Optical Society of America. B, Optical Physics	B1	ECONOMIA	Atualizado
0094-1190	Journal of Urban Economics (Print)	B1	ECONOMIA	Atualizado
0927-5371	Labour Economics	B1	ECONOMIA	Atualizado
0023-7639	Land Economics	B1	ECONOMIA	Atualizado
0264-8377	Land Use Policy	B1	ECONOMIA	Atualizado
1571-9537	Law and Business Review of the Americas	B1	ECONOMIA	Atualizado
0165-4896	Mathematical Social Sciences	B1	ECONOMIA	Atualizado
0378-4754	Mathematics and Computers in Simulation (Print)	B1	ECONOMIA	Atualizado
0026-1386	Metroeconomica (Testo stampato)	B1	ECONOMIA	Atualizado
1431-9276	Microscopy and Microanalysis (Print)	B1	ECONOMIA	Atualizado
0103-6351	Nova Economia (UFMG. Impresso)	B1	ECONOMIA	Atualizado
0233-1934	Optimization (Print)	B1	ECONOMIA	Atualizado
0305-9049	Oxford Bulletin of Economics and Statistics (Print)	B1	ECONOMIA	Atualizado
0030-7653	Oxford Economic Papers	B1	ECONOMIA	Atualizado
0266-903X	Oxford Review of Economic Policy (Print)	B1	ECONOMIA	Atualizado
1695-7121	Pasos (El Sauzal)	B1	ECONOMIA	Atualizado
0100-0551	Pesquisa e Planejamento Econômico (Rio de Janeiro)	B1	ECONOMIA	Atualizado
1539-3755	Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)	B1	ECONOMIA	Atualizado
1070-664X	Physics of Plasmas	B1	ECONOMIA	Atualizado
0048-5829	Public Choice	B1	ECONOMIA	Atualizado
1469-7688	Quantitative Finance (Print)	B1	ECONOMIA	Atualizado
0166-0462	Regional Science and Urban Economics	B1	ECONOMIA	Atualizado
0034-3404	Regional Studies	B1	ECONOMIA	Atualizado
0951-8320	Reliability Engineering & Systems Safety	B1	ECONOMIA	Atualizado
1058-7195	Review of Agricultural Economics	B1	ECONOMIA	Atualizado
1363-6669	Review of Development Economics (Print)	B1	ECONOMIA	Atualizado
0889-938X	Review of Industrial Organization	B1	ECONOMIA	Atualizado
0965-7576	Review of International Economics (Print)	B1	ECONOMIA	Atualizado
1610-2878	Review of World Economics (2003. Print)	B1	ECONOMIA	Atualizado
0101-0964	Revista ANPEC	B1	ECONOMIA	Atualizado
0034-7140	Revista Brasileira de Economia (Impresso)	B1	ECONOMIA	Atualizado
0101-7012	Revista de Econometria	B1	ECONOMIA	Atualizado
0103-2003	Revista de Economia e Sociologia Rural (Impresso)	B1	ECONOMIA	Atualizado
0101-3157	Revista de Economia Política (Impresso)	B1	ECONOMIA	Atualizado
0103-2275	Revista de Estudos Economicos (USP)	B1	ECONOMIA	Atualizado
0101-4366	Revista do Instituto Histórico e Geographico Brazileiro	B1	ECONOMIA	Atualizado
	Revista Economia da ANPEC	B1	ECONOMIA	Atualizado
2176-5804	Revista Eletrônica Documento/Monumento	B1	ECONOMIA	Atualizado
1020-4989	Revista Panamericana de Salud Publica (Print)	B1	ECONOMIA	Atualizado
0036-3634	Salud Pública de México (Impresa)	B1	ECONOMIA	Atualizado
0038-4038	Southern Economic Journal	B1	ECONOMIA	Atualizado
1362-4393	Spinal Cord	B1	ECONOMIA	Atualizado
0954-349X	Structural Change and Economic Dynamics	B1	ECONOMIA	Atualizado
0570-1864	The Annals of Regional Science	B1	ECONOMIA	Atualizado
0195-6574	The Energy Journal (Cambridge, Mass.)	B1	ECONOMIA	Atualizado
0022-0507	The Journal of Economic History	B1	ECONOMIA	Atualizado
1555-7561	Theoretical Economics	B1	ECONOMIA	Atualizado
0034-6586	The Review of Income and Wealth	B1	ECONOMIA	Atualizado
0347-0520	The Scandinavian Journal of Economics	B1	ECONOMIA	Atualizado
0258-6770	The World Bank Economic Review (Print)	B1	ECONOMIA	Atualizado
0261-5177	Tourism Management (1982)	B1	ECONOMIA	Atualizado
0101-3173	Trans/Form/Ação (UNESP. Marília. Impresso)	B1	ECONOMIA	Atualizado
0957-1787	Utilities Policy	B1	ECONOMIA	Atualizado
1098-3015	Value in Health	B1	ECONOMIA	Atualizado
0250-8060	Water International	B1	ECONOMIA	Atualizado
0305-750X	World Development	B1	ECONOMIA	Atualizado
0308-437X	Acoustics Bulletin	B2	ECONOMIA	Atualizado
1807-8621	Acta Scientiarum. Agronomy (Online)	B2	ECONOMIA	Atualizado
0219-5259	Advances in Complex Systems	B2	ECONOMIA	Atualizado
1983-8611	Advances in Scientific and Applied Accounting	B2	ECONOMIA	Atualizado
0169-5150	Agricultural Economics	B2	ECONOMIA	Atualizado
2176-0675	Amazônica: Revista de Antropologia (Online)	B2	ECONOMIA	Atualizado
1414-753X	Ambiente e Sociedade (Campinas)	B2	ECONOMIA	Atualizado
1405-2253	America Latina en la Historía Económica	B2	ECONOMIA	Atualizado
0001-3765	Anais da Academia Brasileira de Ciências (Impresso)	B2	ECONOMIA	Atualizado
0102-9924	Análise Econômica (UFRGS)	B2	ECONOMIA	Atualizado
2176-5456	Análise Econômica (UFRGS) on line	B2	ECONOMIA	Atualizado
